item,question,action,subscale,factor_group,additional_calc
ph_1,"1. In general, would you say your child's physical health is excellent, good, fair, or poor?",,physical_health-physical_health_problem_index-global_physical_health,,
ph_2,"2.  In general,  how much do you worry about your child 's health?",,physical_health-physical_health_problem_index-global_physical_health,,
ph_3,"3.  In general,  how much difficulty, pain or distress does your child's health cause him or her?",,physical_health-physical_health_problem_index-global_physical_health,,
ph_4,"4. To what extent does health  limit  your child in any way, keeping him or her from activities he or she wants to do?",,physical_health-physical_health_problem_index-global_physical_health,,
ph_5,5. How often in an average month does your child stay home or come home from school or child care because of illness?,,physical_health-physical_health_problem_index-global_physical_health,,
ph_6,6. Has your child  ever  had an  injury  or accident requiring medical attention?,,,,
ph_6a,6a. How many times has your child  ever  had an  injury  or accident requiring medical attention?,,physical_health-physical_health_problem_index-injuries_accidents,,
ph_6b,"6b. About how many times did serious injury ever keep your child from participating in normal daily activities, either at home or at school?",,physical_health-physical_health_problem_index-injuries_accidents,,
ph_6c,6c. How many times has your child had an injury or accident requiring medical attention within the past year?,,physical_health-physical_health_problem_index-injuries_accidents,,
ldnb_stayicu,"7. At the time of your child's birth, did he or she have any health problems that were serious enough that he or she was in the neonatal  intensive care unit  (ICU) for at least 24 hours?",,,,
demo_child_nicu_days,7a.   How many days was your child in the intensive care unit?,,,,
ph_8,8.  Has your child ever  been unconscious due to any  injury or illness?,,,,
ph_neuro9,9.  Has your child ever  had a serious head injury (whether unconscious or not)?,,,,
ph_9,10.  Has your child ever had a seizure or fit?,,,,
ph_9a,10a.  How many seizures or fits has your child ever had?,,,,
ph_9b,10b.  How many of these occurred before 5 years of age and during an illness with fever?,,,,
ph_9c,10c. Has your doctor ever said your child has epilepsy?,,,,
ph_10,"11.  Other than seizures, has your child ever had a neurological (brain) condition?",,,,
ph_12a,a.  Arthritis,,physical_health-physical_health_problem_index-chronic_medical_conditions,,
ph_12b,b.  Asthma,,physical_health-physical_health_problem_index-chronic_medical_conditions,,
ph_12c,c.  Other chronic or recurrent lung disease,,physical_health-physical_health_problem_index-chronic_medical_conditions,,
ph_12d,"d.  Birth defects, such as spina bifida or cleft lip",,physical_health-physical_health_problem_index-chronic_medical_conditions,,
ph_12e,"e.  Blood diseases, such as sickle cell anemia or hemophilia",,physical_health-physical_health_problem_index-chronic_medical_conditions,,
ph_12f,"f.  Bowel diseases, such as inflammatory bowel disease or chronic constipation",,physical_health-physical_health_problem_index-chronic_medical_conditions,,
ph_12g,g.  Congenital heart disease,,physical_health-physical_health_problem_index-chronic_medical_conditions,,
