item,question,action,subscale,factor_group,additional_calc
cbq_1,Seems always in a big hurry to get from one place to another.,,activity_level,surgency,
cbq_2,Gets angry when told s/he has to go to bed.,,anger_frustration,negative_affectivity,8-x
cbq_3,Is not very bothered by pain.,reverse,discomfort,negative_affectivity,8-x
cbq_4,Likes going down high slides or other adventurous activities.,,high_intensity_pleasure,surgency,
cbq_5,Notices the smoothness or roughness of objects s/he touches.,,perceptual_sensitivity,effortful_control,
cbq_6,Gets so worked up before an exciting event that s/he has trouble sitting still.,,approach_positive_anticipation,,
cbq_7,Usually rushes into an activity without thinking about it.,,impulsivity,surgency,
cbq_8,Cries sadly when a favorite toy gets lost or broken.,,sadness,negative_affectivity,8-x
cbq_9,Becomes quite uncomfortable when cold and/or wet.,,discomfort,negative_affectivity,8-x
cbq_10,Likes to play so wild and recklessly that s/he might get hurt.,,high_intensity_pleasure,surgency,
cbq_11,Seems to be at ease with almost any person.,reverse,shyness,surgency,8-x
cbq_12,Tends to run rather than walk from room to room.,,activity_level,surgency,
cbq13,Notices it when parents are wearing new clothing.,,perceptual_sensitivity,effortful_control,
cbq14,Has temper tantrums when s/he doesn't get what s/he wants.,,anger_frustration,negative_affectivity,8-x
cbq_15,Gets very enthusiastic about the things s/he does.,,approach_positive_anticipation,,
cbq16,"When practicing an activity, has a hard time keeping her/his mind on it.",reverse,attentional_focusing,effortful_control,
cbq_17,Is afraid of burglars or the 'boogie man.',,fear,negative_affectivity,8-x
cbq_18,"When outside, often sits quietly.",reverse,activity_level,surgency,
cbq_19,Enjoys funny stories but usually doesn't laugh at them.,reverse,smiling_laughter,,
cbq_20,Tends to become sad if the family's plans don't work out.,,sadness,negative_affectivity,8-x
cbq21,Will move from one task to another without completing any of them.,reverse,attentional_focusing,effortful_control,
cbq22,"Moves about actively (runs, climbs, jumps) when playing in the house.",,activity_level,surgency,
cbq23,Is afraid of loud noises.,,fear,negative_affectivity,8-x
cbq24,Seems to listen to even quiet sounds.,,perceptual_sensitivity,effortful_control,
cbq_25,Has a hard time settling down after an exciting activity.,reverse,falling_reactivity_soothability,negative_affectivity,8-x
cbq_26,Enjoys taking warm baths.,,low_intensity_pleasure,effortful_control,
cbq_27,Seems to feel depressed when unable to accomplish some task.,,sadness,negative_affectivity,8-x
cbq_28,Often rushes into new situations.,,impulsivity,surgency,
cbq_29,Is quite upset by a little cut or bruise.,,discomfort,negative_affectivity,8-x
cbq_30,Gets quite frustrated when prevented from doing something s/he wants to do.,,anger_frustration,negative_affectivity,8-x
cbq_31,Becomes upset when loved relatives or friends are getting ready to leave following a visit.,,sadness,negative_affectivity,8-x
cbq_32,Comments when a parent has changed his/her appearance.,,perceptual_sensitivity,effortful_control,
cbq_33,"Enjoys activities such as being chased, spun around by the arms, etc.",,high_intensity_pleasure,surgency,
cbq_34,"When angry about something, s/he tends to stay upset for ten minutes or longer.",reverse,falling_reactivity_soothability,negative_affectivity,8-x
cbq_35,Is not afraid of the dark.,reverse,fear,negative_affectivity,8-x
cbq_36,Takes a long time in approaching new situations.,reverse,impulsivity,surgency,
cbq_37,Is sometimes shy even around people s/he has known a long time.,,shyness,surgency,8-x
cbq38,Can wait before entering into new activities if s/he is asked to.,,inhibitory_control,effortful_control,
cbq39,Enjoys 'snuggling up' next to a parent or babysitter.,,low_intensity_pleasure,effortful_control,
cbq40,Gets angry when s/he can't find something s/he wants to play with.,,anger_frustration,negative_affectivity,8-x
cbq_41,Is afraid of fire.,,fear,negative_affectivity,8-x
cbq_42,Sometimes seems nervous when talking to adults s/he has just met.,,shyness,surgency,8-x
cbq_43,Is slow and unhurried in deciding what to do next.,reverse,impulsivity,surgency,
